"id","datetime","address","longitude","latitude","type_id","geo_updated","created_at"
814,"2016-12-24 08:35:00+03","","37.185","55.3745",2,False,"2018-07-14 00:06:58.241385+03"
885,"2015-06-21 02:00:00+03","","37.411389","55.623889",2,False,"2018-07-14 00:07:50.024073+03"
580,"2017-12-15 20:10:00+03","","37.3539","55.5111",1,False,"2018-07-14 00:06:10.282043+03"
427,"2016-07-15 17:55:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.248255","55.7369",1,True,"2018-07-14 00:04:57.945681+03"
31,"2017-12-03 15:30:00+03","г Москва, А-109 Ильинское шоссе","37.292535","55.795815",2,True,"2018-07-14 00:04:57.954589+03"
32,"2017-12-03 00:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.2944","55.7447",2,True,"2018-07-14 00:04:57.958189+03"
579,"2017-12-23 09:40:00+03","","34.754","55.1366",1,False,"2018-07-14 00:06:10.284916+03"
1577,"2017-05-08 17:25:00+03","г Щербинка, ул Восточная, 2","37.578203","55.49594",2,True,"2018-07-14 00:10:24.4039+03"
1797,"2017-01-19 21:00:00+03","","36.1522","55.785",1,False,"2018-07-14 00:11:21.691924+03"
1964,"2017-04-14 08:15:00+03","","37.2761","55.4297",4,False,"2018-07-14 00:12:04.949354+03"
34,"2015-06-27 21:55:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.276389","55.723333",1,True,"2018-07-14 00:04:57.96714+03"
126,"2017-04-21 00:45:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.36822","55.76474",3,True,"2018-07-14 00:04:57.970429+03"
127,"2017-04-19 10:50:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.20889","55.729416",2,True,"2018-07-14 00:04:57.973724+03"
128,"2017-04-18 10:57:00+03","г Москва, А-109 Ильинское шоссе","37.252776","55.771296",2,True,"2018-07-14 00:04:57.97676+03"
129,"2017-04-16 20:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.27551","55.67746",1,True,"2018-07-14 00:04:57.979904+03"
130,"2017-04-13 11:05:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.715345","55.715345",2,True,"2018-07-14 00:04:57.982669+03"
131,"2017-04-11 15:15:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.357803","55.79288",2,True,"2018-07-14 00:04:57.986105+03"
132,"2017-04-08 20:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.261502","55.59232",1,True,"2018-07-14 00:04:57.988928+03"
581,"2017-12-14 13:20:00+03","д Ватутинки, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.475","55.452",4,True,"2018-07-14 00:06:10.27941+03"
1578,"2017-05-07 09:20:00+03","г Щербинка, ул Парковая, 4","37.554385","55.501146",1,True,"2018-07-14 00:10:24.141655+03"
1965,"2017-10-23 13:30:00+03","","37.7845","55.5641",2,False,"2018-07-14 00:12:04.947081+03"
36,"2015-06-23 09:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.043889","55.425278",4,True,"2018-07-14 00:04:57.991813+03"
429,"2016-07-01 14:45:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.048016","55.729663",2,True,"2018-07-14 00:04:57.995342+03"
37,"2015-06-23 16:00:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.33","55.800556",5,True,"2018-07-14 00:04:57.998322+03"
38,"2015-06-21 01:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.226667","55.698889",3,True,"2018-07-14 00:04:58.001521+03"
430,"2015-11-24 17:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.163333","55.723333",1,True,"2018-07-14 00:04:58.0046+03"
431,"2015-11-23 21:35:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.274444","55.678889",2,True,"2018-07-14 00:04:58.008203+03"
40,"2015-06-16 02:00:00+03","","37.406111","55.910556",1,False,"2018-07-14 00:04:58.014346+03"
41,"2015-06-16 13:10:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.348056","55.796944",2,True,"2018-07-14 00:04:58.019955+03"
42,"2015-06-16 15:40:00+03","","37.243333","55.736944",2,False,"2018-07-14 00:04:58.02253+03"
43,"2015-06-13 00:05:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.271111","55.6825",2,True,"2018-07-14 00:04:58.026211+03"
44,"2015-06-12 01:00:00+03","","37.411667","55.907222",2,False,"2018-07-14 00:04:58.02883+03"
45,"2015-06-11 16:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.268333","55.738889",2,True,"2018-07-14 00:04:58.032512+03"
46,"2015-06-06 23:24:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.351389","55.795833",1,True,"2018-07-14 00:04:58.036549+03"
1966,"2017-10-13 15:10:00+03","","37.4261","55.6692",3,False,"2018-07-14 00:12:04.944633+03"
584,"2015-06-27 22:50:00+03","г Москва, А-101","37","55",2,True,"2018-07-14 00:06:10.271754+03"
583,"2015-06-29 23:30:00+03","г Москва, А-101","37.338056","55.504167",1,True,"2018-07-14 00:06:10.274337+03"
2158,"2015-09-14 21:20:00+03","","37.245556","55.510556",2,False,"2018-07-14 00:13:19.458392+03"
47,"2015-06-06 19:15:00+03","","37","55",6,False,"2018-07-14 00:04:58.039107+03"
432,"2015-11-23 08:55:00+03","","37.293611","55.744444",1,False,"2018-07-14 00:04:58.041096+03"
48,"2015-06-04 18:40:00+03","г Москва, А-109 Ильинское шоссе","37.364167","55.798611",2,True,"2018-07-14 00:04:58.044181+03"
585,"2015-06-23 21:30:00+03","г Москва, А-101","37.386944","55.526111",1,True,"2018-07-14 00:06:10.269017+03"
1800,"2015-06-06 01:14:00+03","г Москва, М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)","36.887778","55.445833",2,True,"2018-07-14 00:11:21.683911+03"
433,"2015-11-12 06:50:00+03","г Москва, А-109 Ильинское шоссе","37.293056","55.795833",1,True,"2018-07-14 00:04:58.052765+03"
50,"2015-06-01 09:10:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.361944","55.791667",2,True,"2018-07-14 00:04:58.055343+03"
51,"2015-10-25 19:20:00+03","","0","0",2,False,"2018-07-14 00:04:58.057365+03"
52,"2015-10-24 22:50:00+03","","37.415278","55.904722",1,False,"2018-07-14 00:04:58.059624+03"
53,"2015-10-19 09:45:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.350556","55.795833",2,True,"2018-07-14 00:04:58.062048+03"
54,"2015-10-14 22:25:00+03","","37.411389","55.981667",2,False,"2018-07-14 00:04:58.064369+03"
55,"2015-10-14 15:10:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.078889","55.715",2,True,"2018-07-14 00:04:58.067777+03"
56,"2015-10-13 09:50:00+03","","37.175833","55.666667",2,False,"2018-07-14 00:04:58.06979+03"
57,"2015-10-06 15:05:00+03","г Москва, ш Ленинградское, влад.16","37.49736","55.824804",1,True,"2018-07-14 00:04:58.315519+03"
434,"2015-11-11 12:50:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.1325","55.719167",3,True,"2018-07-14 00:04:58.319828+03"
58,"2015-10-06 08:43:00+03","","37.398333","55.98",1,False,"2018-07-14 00:04:58.323048+03"
59,"2016-04-24 19:50:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.27202","55.68124",2,True,"2018-07-14 00:04:58.32631+03"
435,"2015-11-10 11:05:00+03","","37.271389","55.682222",2,False,"2018-07-14 00:04:58.329435+03"
589,"2015-06-07 00:30:00+03","г Москва, А-101","55","37",2,True,"2018-07-14 00:06:10.259222+03"
588,"2015-06-11 13:00:00+03","г Москва, А-101","37.394722","55.537222",1,True,"2018-07-14 00:06:10.261571+03"
586,"2015-06-20 06:20:00+03","г Москва, А-101","37.392222","55.535833",3,True,"2018-07-14 00:06:10.266182+03"
723,"2017-03-20 13:00:00+03","дп Кокошкино, ул Дзержинского, 4","37.166322","55.602083",1,True,"2018-07-14 00:06:32.36789+03"
1581,"2017-05-01 14:10:00+03","г Щербинка, ул Барышевская Роща, 24","37.5339","55.5064",2,True,"2018-07-14 00:10:23.418187+03"
1801,"2015-10-19 18:50:00+03","г Москва, М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)","36.885","55.443889",1,True,"2018-07-14 00:11:21.681003+03"
60,"2016-04-24 05:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.334433","55.752056",2,True,"2018-07-14 00:04:58.332859+03"
819,"2015-02-06 14:20:00+03","д Анкудиново, ул Сосновая, 2","37.145278","55.57",2,False,"2018-07-14 00:06:58.597424+03"
61,"2016-04-23 09:15:00+03","г Москва, А-109 Ильинское шоссе","37.175324","55.744471",2,True,"2018-07-14 00:04:58.335747+03"
62,"2016-04-22 21:55:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.462693","55.715383",2,True,"2018-07-14 00:04:58.339005+03"
63,"2016-04-21 14:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.208825","55.729303",2,True,"2018-07-14 00:04:58.342276+03"
593,"2015-10-03 02:30:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.336944","55.503889",2,True,"2018-07-14 00:06:10.246255+03"
592,"2015-10-04 17:30:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.325833","55.490278",2,True,"2018-07-14 00:06:10.249215+03"
591,"2015-10-04 17:10:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.320833","55.482778",2,True,"2018-07-14 00:06:10.253011+03"
590,"2015-10-19 22:10:00+03","г Москва, А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)","37.326389","55.490833",1,True,"2018-07-14 00:06:10.256152+03"
594,"2016-04-24 16:00:00+03","","37.346745","55.508004",2,False,"2018-07-14 00:06:10.243636+03"
436,"2015-11-08 08:45:00+03","","37.266389","55.688889",3,False,"2018-07-14 00:04:58.344777+03"
64,"2016-04-17 09:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.138818","55.72131",3,True,"2018-07-14 00:04:58.34788+03"
